 
****************************************
Report : area
Design : DnCNN
Version: R-2020.09
Date   : Thu Jun 23 15:39:47 2022
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /theda21_2/library/GPDK045/cur/gsclib045/db/slow_vdd1v2_basicCells.db)

Number of ports:                         8735
Number of nets:                         50985
Number of cells:                        37215
Number of combinational cells:          33162
Number of sequential cells:              3938
Number of macros/black boxes:               0
Number of buf/inv:                       2873
Number of references:                     138

Combinational area:              84831.853592
Buf/Inv area:                     2819.790063
Noncombinational area:           23209.146518
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                108041.000110
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-      Noncombi-   Black-
                                  Total        Total    national    national    boxes   Design
--------------------------------  -----------  -------  ----------  ----------  ------  --------------------------------
DnCNN                             108041.0001    100.0  14451.8943  13972.4103  0.0000  DnCNN
add_0_root_add_0_root_add_160_2       34.8840      0.0     34.8840      0.0000  0.0000  DnCNN_DW01_add_18_DW01_add_42
add_168                               56.0880      0.1     56.0880      0.0000  0.0000  DnCNN_DW01_inc_0_DW01_inc_5
add_338_S4                           194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_50
add_338_S4_I2                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_49
add_338_S4_I3                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_48
add_338_S4_I4                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_47
add_339_S4                           194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_46
add_339_S4_I2                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_45
add_339_S4_I3                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_44
add_339_S4_I4                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_43
add_340_S4                           194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_42
add_340_S4_I2                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_41
add_340_S4_I3                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_40
add_340_S4_I4                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_39
add_341_S4                           194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_38
add_341_S4_I2                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_37
add_341_S4_I3                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_36
add_341_S4_I4                        194.2560      0.2    194.2560      0.0000  0.0000  DnCNN_DW01_add_35
mult_346_S4                         3076.2901      2.8   3076.2901      0.0000  0.0000  DnCNN_DW_mult_uns_36
mult_346_S4_I2                      3070.4761      2.8   3070.4761      0.0000  0.0000  DnCNN_DW_mult_uns_37
mult_346_S4_I3                      3063.9781      2.8   3063.9781      0.0000  0.0000  DnCNN_DW_mult_uns_38
mult_346_S4_I4                      3071.1601      2.8   3071.1601      0.0000  0.0000  DnCNN_DW_mult_uns_39
